Date,GGAL,BMA,BBAR,YPF,TGS,EDN,PAM
2011-01-03,-0.16460001176712158,-0.15476309882518502,-0.1652601057298576,0.1920306662418591,0.08893309788438358,0.12934954917590946,0.08846514880458956
2011-01-04,-0.1613342488142664,-0.14932825806144767,-0.17046250616476166,0.23425478939261007,0.08816181628143666,0.09620039575299599,0.06745916885903364
2011-01-05,-0.13525379852177433,-0.18159758112918212,-0.18846049459561331,0.2515068587428377,0.08443646527073823,0.08065918569092945,0.08354067545862454
2011-01-06,-0.1236695913928687,-0.16720521868807814,-0.1829051167050295,0.23957999656984164,0.07547129427646349,0.09049590832869003,0.06278123143855319
2011-01-07,-0.1235772609685033,-0.13691225699285026,-0.17829127775686915,0.20502958798298232,0.07168538461893104,0.08919768536100459,0.06641905797581987
2011-01-10,-0.10301684314331472,-0.15091483328563837,-0.16557031020724677,0.210608106981041,0.055665761704371486,0.09399259465039578,0.04928780856795978
2011-01-11,-0.08917833175727208,-0.15534817131449352,-0.16839822981081598,0.2243237765597293,0.03184656826604915,0.0873985144639774,0.058041585449185584
2011-01-12,-0.1074240217000797,-0.15245851988232295,-0.17355645116579554,0.2061212736990577,0.08593963510730362,0.07554094631628183,0.05848323171752595
2011-01-13,-0.11321632135549065,-0.16975179811672025,-0.16444302217748075,0.19553043809991297,0.0767687916044863,0.09657763866809321,0.07076561317667951
2011-01-14,-0.10835293664574142,-0.18902340541449136,-0.1355765355428904,0.176262855632561,0.0767824716801716,0.10044289418646135,0.07229802575921068
2011-01-18,-0.12854367593788107,-0.18855614075087568,-0.12684416753643313,0.17599260165288852,0.08988166275597986,0.07660847890530309,0.10401717136708899
2011-01-19,-0.1030449623997689,-0.14908038471381024,-0.10796778289695919,0.15334879741312293,0.09379699247575174,0.03414911022824918,0.09888200356288185
2011-01-20,-0.12290767621077081,-0.1543549381314303,-0.13581582765797107,0.13864353067837906,0.11577463329456522,0.046183938104804145,0.12771553930536794
