Date,BBAR,BMA,EDN,GGAL,PAM,TGS,YPF
2010-01-04,3.37400484085083,17.19268226623535,8.199999809265137,4.194057464599609,11.756643295288086,1.4067209959030151,35.91170883178711
2010-01-05,3.642637014389038,17.106395721435547,8.170000076293945,4.338930606842041,11.628210067749023,1.4678823947906494,35.26798629760742
2010-01-06,3.605026960372925,16.5542049407959,8.390000343322754,4.078159809112549,11.06507682800293,1.5008161067962646,36.008262634277344
2010-01-07,3.653381824493408,16.646242141723633,8.479999542236328,4.223031044006348,11.292305946350098,1.496111273765564,35.66225814819336
2010-01-08,3.6909899711608887,16.473676681518555,8.220000267028809,4.150596618652344,11.124354362487793,1.4914063215255737,36.12895965576172
2010-01-11,3.642637014389038,16.4046573638916,7.599999904632568,3.991236686706543,10.887245178222656,1.4772922992706299,36.708309173583984
2010-01-12,3.6587536334991455,16.4046573638916,7.630000114440918,3.8029026985168457,10.590859413146973,1.4302446842193604,36.853145599365234
2010-01-13,3.6748721599578857,16.490934371948242,7.820000171661377,3.8898258209228516,10.660016059875488,1.3643780946731567,35.80710220336914
2010-01-14,3.7823240756988525,16.956846237182617,8.109999656677246,4.049186706542969,11.321945190429688,1.4255398511886597,36.241615295410156
2010-01-15,3.685617208480835,16.836057662963867,7.800000190734863,3.9332876205444336,10.897125244140625,1.4114254713058472,35.84732437133789
2010-01-19,3.7823240756988525,16.674999237060547,8.0,4.034699440002441,10.768691062927246,1.387901782989502,35.613983154296875
2010-01-20,3.7232255935668945,16.76127815246582,7.710000038146973,3.991236686706543,11.035438537597656,1.3784923553466797,34.60011672973633
2010-01-21,3.653381824493408,17.014366149902344,7.690000057220459,3.8970694541931152,10.887245178222656,1.4020161628723145,35.60593032836914
2010-01-22,3.6909899711608887,16.57721519470215,7.480000019073486,3.8391194343566895,11.173752784729004,1.4020161628723145,35.026588439941406
2010-01-25,3.653381824493408,16.272356033325195,7.53000020980835,3.8318774700164795,11.18363094329834,1.3455588817596436,33.80350875854492
2010-01-26,3.653381824493408,16.11705780029297,7.559999942779541,3.77392840385437,11.173752784729004,1.392606496810913,33.65867233276367
2010-01-27,3.680244207382202,16.11705780029297,7.5,3.7304673194885254,11.321945190429688,1.3643780946731567,33.6345329284668
2010-01-28,3.680244207382202,16.157325744628906,7.480000019073486,3.74495267868042,11.312065124511719,1.3643780946731567,33.39313507080078
2010-01-29,3.4116134643554688,16.39890480041504,7.53000020980835,3.77392840385437,11.193511009216309,1.3643780946731567,33.58625793457031
2010-02-01,3.5136938095092773,16.28386116027832,7.650000095367432,3.868095636367798,11.153992652893066,1.3737876415252686,33.88397979736328
2010-02-02,3.5029470920562744,16.24359893798828,7.150000095367432,3.8463640213012695,11.18363094329834,1.387901782989502,33.69085693359375
2010-02-03,3.4438490867614746,15.85246753692627,7.570000171661377,3.7884156703948975,11.21327018737793,1.3455588817596436,33.77936935424805
2010-02-04,3.271926164627075,14.776844024658203,7.130000114440918,3.6000816822052,10.778570175170898,1.274987816810608,32.99081039428711
2010-02-05,3.218198776245117,14.702071189880371,7.019999980926514,3.513157606124878,10.52170181274414,1.312625765800476,32.2746696472168
2010-02-08,3.1537275314331055,14.351200103759766,6.909999847412109,3.491426944732666,10.432787895202637,1.3737876415252686,32.508018493652344
2010-02-09,3.1537275314331055,14.33969783782959,6.880000114440918,3.455209255218506,10.847726821899414,1.3643780946731567,32.60457992553711
2010-02-10,3.1537275314331055,14.437479972839355,6.96999979019165,3.491426944732666,10.956401824951172,1.3784923553466797,33.31266784667969
2010-02-11,3.1859638690948486,14.65030288696289,7.239999771118164,3.636298894882202,10.96628189086914,1.3596735000610352,32.99081039428711
2010-02-12,3.239689588546753,14.868877410888672,7.179999828338623,3.7304673194885254,10.916884422302246,1.3737876415252686,32.8781623840332
2010-02-16,3.2558066844940186,15.219747543334961,7.25,3.563863515853882,11.045318603515625,1.3361496925354004,32.58848190307617
2010-02-17,3.3095343112945557,15.582121849060059,7.190000057220459,3.484182834625244,11.11447525024414,1.3408544063568115,32.749412536621094
2010-02-18,3.2880423069000244,15.863973617553711,7.170000076293945,3.4986703395843506,11.173752784729004,1.3361496925354004,33.01494598388672
2010-02-19,3.2987892627716064,15.886975288391113,7.46999979019165,3.571106433868408,11.21327018737793,1.3361496925354004,33.103458404541016
2010-02-22,3.3417699337005615,15.990514755249023,7.300000190734863,3.5204017162323,11.06507682800293,1.3408544063568115,32.765506744384766
2010-02-23,3.2611804008483887,15.79494857788086,7.159999847412109,3.469695568084717,10.7094144821167,1.3173305988311768,33.32876205444336
2010-02-24,3.2611804008483887,15.599376678466797,6.989999771118164,3.469695568084717,10.610617637634277,1.3549686670303345,33.77132797241211
2010-02-25,3.1644718647003174,15.02993392944336,6.760000228881836,3.4189906120300293,10.324111938476562,1.3361496925354004,32.95058059692383
2010-02-26,3.2665531635284424,14.932150840759277,6.75,3.4769394397735596,10.501943588256836,1.3314447402954102,33.031036376953125
2010-03-01,3.3256514072418213,15.518851280212402,6.78000020980835,3.6000816822052,10.551342010498047,1.3455588817596436,32.73332214355469
2010-03-02,3.37400484085083,15.85821533203125,6.900000095367432,3.6725172996520996,10.916884422302246,1.3643780946731567,32.62066650390625
2010-03-03,3.2772982120513916,15.725922584533691,6.820000171661377,3.6290555000305176,10.877366065979004,1.3596735000610352,33.988590240478516
2010-03-04,3.331023693084717,15.691412925720215,6.840000152587891,3.6000816822052,11.06507682800293,1.3596735000610352,34.50355529785156
2010-03-05,3.331023693084717,15.85246753692627,7.03000020980835,3.5493757724761963,11.06507682800293,1.3643780946731567,35.5978889465332
2010-03-08,3.4116134643554688,16.048032760620117,6.880000114440918,3.636298894882202,10.96628189086914,1.387901782989502,35.56570053100586
2010-03-09,3.4545936584472656,16.111305236816406,6.920000076293945,3.6580302715301514,10.808208465576172,1.4114254713058472,35.2840690612793
2010-03-10,3.5513017177581787,16.249353408813477,6.889999866485596,3.8391194343566895,10.7094144821167,1.392606496810913,35.2840690612793
2010-03-11,3.545928478240967,16.358640670776367,6.829999923706055,3.77392840385437,10.67977523803711,1.369083046913147,35.2840690612793
2010-03-12,3.57816481590271,16.249353408813477,6.849999904632568,3.8608508110046387,10.82796859741211,1.3737876415252686,35.2840690612793
2010-03-15,3.615772008895874,16.324129104614258,7.25,3.8898258209228516,10.768691062927246,1.4819968938827515,35.3001708984375
2010-03-16,3.7071073055267334,16.485179901123047,7.400000095367432,3.983992576599121,10.778570175170898,1.4584733247756958,35.3001708984375
2010-03-17,3.760833740234375,17.054630279541016,7.559999942779541,4.078159809112549,10.82796859741211,1.5008161067962646,35.2840690612793
2010-03-18,3.7930703163146973,16.7900390625,7.349999904632568,4.114377975463867,10.82796859741211,1.5525680780410767,34.761051177978516
2010-03-19,3.760833740234375,16.916584014892578,7.380000114440918,4.194057464599609,11.163872718811035,1.5525680780410767,34.43918991088867
2010-03-22,3.8414242267608643,17.457273483276367,7.53000020980835,4.317199230194092,11.400980949401855,1.5055205821990967,34.7127685546875
2010-03-23,4.136915683746338,18.084239959716797,7.619999885559082,4.469315528869629,11.450379371643066,1.5102251768112183,34.141456604003906
2010-03-24,4.169152736663818,18.440860748291016,7.579999923706055,4.440340995788574,11.450379371643066,1.5055205821990967,34.463321685791016
2010-03-25,4.169152736663818,18.463869094848633,7.46999979019165,4.491046905517578,11.460258483886719,1.529044270515442,34.141456604003906
2010-03-26,4.169152736663818,18.020965576171875,7.5,4.404123306274414,11.440499305725098,1.5807963609695435,34.60011672973633
2010-03-29,4.136915683746338,18.34307289123535,7.409999847412109,4.440340995788574,11.262667655944824,1.529044270515442,34.7127685546875
2010-03-30,4.083191394805908,17.595314025878906,7.360000133514404,4.3823933601379395,11.361462593078613,1.5666824579238892,34.664493560791016
2010-03-31,3.9757373332977295,17.19268226623535,7.03000020980835,4.3099565505981445,11.242908477783203,1.5713872909545898,35.002445220947266
2010-04-01,3.970364809036255,17.227190017700195,7.050000190734863,4.223031044006348,11.312065124511719,1.6184349060058594,34.96221160888672
2010-04-05,4.040210247039795,17.974945068359375,7.199999809265137,4.4113664627075195,11.292305946350098,1.6937106847763062,35.41281509399414
2010-04-06,4.067073345184326,18.193519592285156,7.610000133514404,4.483803749084473,11.588691711425781,1.627844214439392,35.517425537109375
2010-04-07,4.029465675354004,17.980701446533203,7.670000076293945,4.425853729248047,11.391101837158203,1.5996158123016357,35.380638122558594
2010-04-08,4.018719673156738,17.831153869628906,7.730000019073486,4.4113664627075195,11.410861015319824,1.623139500617981,35.14728546142578
2010-04-09,4.1637797355651855,18.23378562927246,7.900000095367432,4.548995018005371,11.361462593078613,1.627844214439392,35.3001708984375
2010-04-12,4.190642833709717,18.291301727294922,7.849999904632568,4.585212230682373,11.460258483886719,1.6654821634292603,35.22774887084961
2010-04-13,4.185269832611084,18.22228240966797,7.800000190734863,4.5272650718688965,11.420740127563477,1.6466631889343262,35.235801696777344
2010-04-14,4.185269832611084,18.193519592285156,7.619999885559082,4.534509658813477,11.430619239807129,1.6701871156692505,35.1070556640625
