Date,BMA,CEPU,GGAL,LOMA,PAM,SUPV,TGS,YPF
2008-01-02,24.0,,7.599999904632568,,,,5.960000038146973,43.77000045776367
2008-01-03,23.399999618530273,,7.400000095367432,,,,5.699999809265137,43.7400016784668
2008-01-04,23.56999969482422,,7.139999866485596,,,,5.699999809265137,43.119998931884766
2008-01-07,23.290000915527344,,7.159999847412109,,,,5.800000190734863,43.119998931884766
2008-01-08,23.110000610351562,,7.090000152587891,,,,5.559999942779541,43.79999923706055
2008-01-09,24.3700008392334,,7.150000095367432,,,,5.71999979019165,42.599998474121094
2008-01-10,23.510000228881836,,7.210000038146973,,,,5.849999904632568,42.959999084472656
2008-01-11,23.860000610351562,,7.179999828338623,,,,5.71999979019165,42.150001525878906
2008-01-14,24.43000030517578,,7.099999904632568,,,,5.519999980926514,42.47999954223633
2008-01-15,23.0,,6.71999979019165,,,,5.380000114440918,40.61000061035156
2008-01-16,23.020000457763672,,6.650000095367432,,,,5.570000171661377,38.5
2008-01-17,23.0,,6.619999885559082,,,,5.28000020980835,38.77000045776367
2008-01-18,22.239999771118164,,6.340000152587891,,,,5.260000228881836,38.68000030517578
2008-01-22,21.950000762939453,,6.139999866485596,,,,5.159999847412109,38.0
2008-01-23,23.100000381469727,,6.179999828338623,,,,4.949999809265137,37.7599983215332
2008-01-24,21.719999313354492,,6.329999923706055,,,,5.110000133514404,38.70000076293945
2008-01-25,23.510000228881836,,6.320000171661377,,,,5.329999923706055,38.77000045776367
2008-01-28,23.68000030517578,,6.28000020980835,,,,5.309999942779541,38.599998474121094
2008-01-29,23.860000610351562,,6.389999866485596,,,,5.28000020980835,38.150001525878906
2008-01-30,24.020000457763672,,6.360000133514404,,,,5.349999904632568,38.349998474121094
2008-01-31,23.709999084472656,,6.360000133514404,,,,5.5,37.9900016784668
2008-02-01,24.0,,6.400000095367432,,,,5.380000114440918,38.209999084472656
2008-02-04,24.0,,6.420000076293945,,,,5.300000190734863,37.779998779296875
2008-02-05,23.899999618530273,,6.389999866485596,,,,5.119999885559082,37.970001220703125
